id,category,difficulty,question,hallucination_check,expected_dieu,expected_keywords,expected_nodes,ground_truth,notes
20,Tốt nghiệp Đại học,hard,Sinh viên muốn học cùng lúc 2 chương trình cần điều kiện gì?,,Điều 18,"năm 2, CPA, 2.0, trung bình, cùng đợt, 2 năm, không cảnh báo",Học cùng lúc hai CTĐT,Điều kiện: đã được xếp trình độ năm 2 của CT1; CPA ≥ Trung bình (≥2.0) và đáp ứng điều kiện trúng tuyển CT2. Phải duy trì CPA≥TB và không bị cảnh báo. TN cùng đợt cả 2 CT. CT2 phải đăng ký ≤2 năm trước xét TN. Thời gian tối đa = CT1.,"Phải đủ các điều kiện: năm 2, CPA, TN cùng đợt"
21,Tốt nghiệp Đại học,medium,Điều kiện để chuyển chương trình đào tạo?,,Điều 17,"năm 1, CPA, 2.5, khá, không cảnh báo, tài năng, 3.2","Chuyển chương trình đào tạo, Điều kiện chuyển CTĐT","Sau năm 1: CPA ≥2.5 (Khá), không bị cảnh báo, không đang bị kỷ luật, đáp ứng điều kiện trúng tuyển CT mới. Vào CT Tài năng cần CPA ≥3.2 (Giỏi) sau năm 2.",Phải phân biệt chuyển CT thường (2.5) và Tài năng (3.2)
22,Tốt nghiệp Đại học,medium,Phúc tra điểm được thực hiện trong bao nhiêu ngày?,,Điều 6,"7 ngày, tài khoản, vấn đáp, hội đồng, không áp dụng",Phúc tra/Khiếu nại điểm,Người học có thể đề nghị phúc tra hoặc khiếu nại điểm trong thời hạn 7 ngày kể từ khi điểm học phần được cập nhật vào tài khoản học tập. Không áp dụng với thi vấn đáp hoặc đánh giá trước hội đồng.,Phải nêu 7 ngày và các trường hợp không áp dụng
23,Tốt nghiệp Đại học,medium,Xếp loại học lực theo GPA như thế nào?,,Điều 12,"kém, yếu, trung bình, khá, giỏi, xuất sắc, 1.0, 2.0, 2.5, 3.2, 3.6",Xếp loại học lực,Kém: <1.0; Yếu: 1.0-1.99; Trung bình: 2.0-2.49; Khá: 2.5-3.19; Giỏi: 3.2-3.59; Xuất sắc: 3.6-4.0.,Phải liệt kê đủ 6 mức và các ngưỡng
24,Tốt nghiệp Đại học,medium,Nghỉ học tạm thời tối đa bao nhiêu học kỳ?,,Điều 16,"4 kỳ, ốm, thai sản, nghĩa vụ, không tính, chậm tiến độ",Nghỉ học tạm thời,"ĐH: Ốm/thai sản/tai nạn không tính vào chậm tiến độ nếu ≤4 kỳ chính. Nghĩa vụ QS không tính. Lý do khác tối đa 4 kỳ chính, tính vào chậm tiến độ. KS/ThS ốm: max 2 kỳ không tính chậm tiến độ.",Phải phân biệt các lý do nghỉ và cách tính
25,Tốt nghiệp Đại học,easy,Sinh viên bị buộc thôi học khi nào?,,Điều 19,"cảnh báo mức 3, lần thứ 2, liên tiếp, chậm tiến độ, thôi học",Buộc thôi học,Buộc thôi học khi: (a) Bị cảnh báo mức 3 lần thứ 2 liên tiếp; (b) Học chậm tiến độ quá thời gian cho phép hoặc không còn khả năng TN trong thời gian quy định.,Phải nêu đủ 2 trường hợp
26,Tốt nghiệp Kỹ sư,easy,Điều kiện tốt nghiệp kỹ sư là gì?,,Điều 23,"CPA, 2.0, ngoại ngữ, đồ án, từ C, kỹ sư",Điều kiện tốt nghiệp kỹ sư,4 điều kiện: (1) Hoàn thành đủ HP CTĐT kỹ sư; (2) Đạt chuẩn ngoại ngữ; (3) CPA toàn khóa CT kỹ sư ≥2.0; (4) Không bị truy cứu hình sự hoặc đình chỉ. Đồ án TN kỹ sư phải đạt từ C.,Phải nêu ĐATN KS đạt từ C
27,Tốt nghiệp Kỹ sư,medium,Học viên kỹ sư đăng ký tối đa bao nhiêu TC học trước trong CT cử nhân?,,Điều 21,"15 TC, học trước, cử nhân, kỹ sư",Học trước HP kỹ sư khi còn học CN,"Trong quá trình học CT cử nhân, học viên được đăng ký học trước tối đa 15 TC các học phần thuộc CTĐT kỹ sư.",Số cụ thể: 15 TC
28,Tốt nghiệp Thạc sĩ,easy,Điều kiện bảo vệ luận văn thạc sĩ là gì?,,Điều 31,"bậc 4/6, khung 6 bậc, người hướng dẫn, phản biện, xác nhận","Điều kiện bảo vệ luận văn ThS, Chuẩn ngoại ngữ (ThS)",3 điều kiện: (1) Hoàn thành và đạt các HP theo yêu cầu CTĐT; (2) Đạt chuẩn ngoại ngữ bậc 4/6 Khung 6 bậc VN (hoặc tương đương); (3) Người hướng dẫn và phản biện xác nhận LV đủ chất lượng.,Phải nêu chuẩn ngoại ngữ bậc 4/6
29,Tốt nghiệp Thạc sĩ,medium,Điểm thưởng công bố khoa học trong luận văn thạc sĩ là bao nhiêu?,,Điều 32,"0.5, 1.5, điểm thưởng, 8.5, công bố, tạp chí","Điểm thưởng công bố khoa học (ThS), Điểm bảo vệ luận văn ThS","Điểm thưởng CBKH: 0.5 đến 1.5 điểm do HĐ đánh giá quyết định. Điều kiện: có bài báo liên quan LV trên tạp chí/hội nghị KH, hoặc đề tài KCN đã nghiệm thu. Điểm bảo vệ ≥8.5 chỉ khi có CBKH.",Phải nêu ngưỡng 0.5-1.5 và điều kiện >=8.5
30,Tốt nghiệp Thạc sĩ,medium,Điều kiện tốt nghiệp thạc sĩ là gì?,,Điều 34,"luận văn đạt, 30 ngày, công khai, Tạ Quang Bửu, 20 ngày","Điều kiện tốt nghiệp thạc sĩ, Thư viện Tạ Quang Bửu","4 điều kiện: (1) Luận văn đạt; (2) Nộp quyển LV đã sửa, công khai toàn văn ≥30 ngày trên web ĐHBK; (3) Nộp LV cho TV Tạ Quang Bửu trong 20 ngày từ ngày BV thành công; (4) Không bị truy cứu hình sự hoặc kỷ luật đình chỉ.",Phải nêu 20 ngày nộp TV và 30 ngày công khai
31,Tốt nghiệp Thạc sĩ,medium,Hạng tốt nghiệp thạc sĩ được xếp như thế nào?,,Điều 34,"2.0, 2.5, 3.2, 3.6, trung bình, khá, giỏi, xuất sắc, 2 tháng",Hạng tốt nghiệp thạc sĩ,"Xếp theo CPA toàn khóa (kể cả LV, không tính HP được CN): TB: 2.0-2.49; Khá: 2.5-3.19; Giỏi: 3.2-3.59; Xuất sắc: 3.6-4.0. Cấp bằng trong 2 tháng từ khi đủ điều kiện.",Phải nêu đủ 4 mức và thời hạn cấp bằng 2 tháng
32,Tốt nghiệp Thạc sĩ,hard,Thạc sĩ đăng ký tối đa bao nhiêu TC mỗi học kỳ và mỗi năm?,,Điều 27,"24 TC, 45 TC, 20 TC, 30 TC, chính quy, VLVH, kỳ cuối",Số tín chỉ đăng ký học tập thạc sĩ mỗi học kỳ,"Chính quy: tối đa 24 TC/kỳ, không quá 45 TC/năm. VLVH: tối đa 20 TC/kỳ, không quá 30 TC/năm. Kỳ cuối không áp dụng tối đa nhưng vẫn ≤ giới hạn năm.",Phải phân biệt CQ và VLVH cả kỳ lẫn năm
33,Tiến sĩ,medium,Điều kiện bảo vệ luận án tiến sĩ cấp cơ sở là gì?,,Điều 41,"ISI-Scopus, 2 bài báo, 0.75, 2.0, 90 ngày, hội thảo","Điều kiện bảo vệ cấp cơ sở (TS), Yêu cầu bài báo khoa học (TS)","5 điều kiện: (1) Hoàn thành HP, báo cáo, chuyên đề; (2) ≥2 bài báo (1 ISI-Scopus + 1 HĐ GS điểm≥0.75, hoặc 2 QT phản biện điểm≥0.75); (3) Tổng điểm CTĐT ≥2.0; (4) LA qua hội thảo CM, HT cuối đồng ý; (5) HD xác nhận. Đăng ký đủ 90 ngày trước kết thúc.",Phải nêu yêu cầu bài báo ISI-Scopus
34,Tiến sĩ,medium,Hội đồng bảo vệ luận án tiến sĩ cấp cơ sở gồm mấy thành viên?,,Điều 42,"7 thành viên, 2 phản biện, 21 ngày, 45 ngày, 6, 20 ngày",Bảo vệ luận án cấp cơ sở (TS),"7 thành viên gồm: chủ tịch, thư ký, 2 phản biện và các ủy viên. Tổ chức sau 21 ngày và trước 45 ngày từ QĐ thành lập HĐ. Cần ≥6/7 thành viên đồng ý để đề nghị BV cấp ĐH. Sau BV sửa trong 20 ngày.","Phải nêu 7 TV, 21-45 ngày, >=6 đồng ý"
35,Tiến sĩ,medium,Học phần tiến sĩ cần hoàn thành bao nhiêu tín chỉ trong thời gian bao lâu?,,Điều 38,"8 TC, 3-4 học phần, 2 năm, từ C, 6 tháng, gia hạn",Học phần tiến sĩ,"Tối thiểu 8 TC tương ứng 3-4 học phần tiến sĩ. Hoàn thành trong 2 năm từ QĐ công nhận NCS, đạt từ C. Quá 2 năm có thể xin gia hạn 6 tháng. Quá hạn vẫn không xong → xét thôi học.","Phải nêu 8 TC, 2 năm và gia hạn 6 tháng"
36,Tiến sĩ,medium,Chuyên đề tiến sĩ cần hoàn thành bao nhiêu và điểm đạt là bao nhiêu?,,Điều 39,"3 chuyên đề, 6 TC, 5.5, 1 tháng, tiểu ban",Chuyên đề tiến sĩ,"3 chuyên đề = 6 TC. Đánh giá trước tiểu ban, đạt khi TB tiểu ban ≥5.5/10. Hoàn thành trước 1 tháng khi nộp hồ sơ đăng ký BV cơ sở. Tên chuyên đề do NCS đề xuất, GVHD đồng ý.",Phải nêu 3 chuyên đề=6TC và điểm đạt 5.5
37,Tiến sĩ,hard,Điều kiện để được cấp bằng tiến sĩ?,,Điều 44,"HĐ cấp ĐH, 60 ngày, TV Quốc gia, Tạ Quang Bửu, 3 tháng, 30 ngày làm việc","Điều kiện cấp bằng tiến sĩ, Thư viện Quốc gia","5 điều kiện: (1) HĐ cấp ĐH thông qua LA; (2) Sửa LA theo HĐ, HD+đơn vị+CT HĐ xác nhận; (3) Thẩm định Bộ GDĐT đạt hoặc quá 60 ngày LV chưa có KQ; (4) Nộp TV Quốc gia VN và TV TQB; (5) Công khai toàn văn LA 3 tháng. Cấp bằng trong 30 ngày LV từ QĐ.",Phải nêu 30 ngày LV và 3 tháng công khai
38,Tiến sĩ,medium,Tiểu luận tổng quan của NCS cần hoàn thành trong bao lâu?,,Điều 39,"12 tháng, công nhận NCS, báo cáo, đơn vị chuyên môn, GVHD",Tiểu luận tổng quan (TS),NCS phải hoàn thành tiểu luận tổng quan trong 12 tháng từ khi có QĐ công nhận NCS. Đánh giá theo hình thức báo cáo KH tại đơn vị CM. Đạt khi GVHD và đơn vị CM thông qua.,Số cụ thể: 12 tháng
39,Quy trình và Thủ tục,easy,Một tín chỉ tương đương bao nhiêu giờ học tập?,,Điều 4,"50 giờ, 15 giờ, 30 giờ, 1 tuần, 0.5-0.6, đồ án","Tín chỉ (TC), TC thực tập và đồ án","1 TC = 50 giờ học tập định mức (bao gồm dự giờ giảng, tự học, nghiên cứu). Trên lớp: 15 giờ giảng hoặc 30 giờ thực hành/TC. 1 tuần đồ án toàn thời gian = 1 TC. 1 tuần thực tập = 0.5-0.6 TC.",Phải nêu 50 giờ/TC và các quy đổi
40,Quy trình và Thủ tục,medium,Điểm ĐATN được tính như thế nào?,,Điều 13,"0.5, người hướng dẫn, phản biện, hội đồng, 4.9, từ C, <5","Đồ án/Khóa luận TN cử nhân (ĐATN), Điểm thành phần ĐATN","Điểm ĐATN = 0.5×QT + 0.5×CK. QT = TB(điểm HD + điểm PB). HD hoặc PB cho <5 → không được BV, điểm BV = 0. CK = TB(điểm TV HĐ). TV HĐ cho <5 → BV là điểm liệt, tối đa 4.9. Đạt từ C.",Phải nêu trường hợp HD/PB cho <5
41,Quy trình và Thủ tục,easy,Hoãn thi cuối kỳ được thực hiện như thế nào?,,Điều 6,"2 học kỳ, ốm, tai nạn, điểm F, không có thi lại","Hoãn thi, Thi lại","Người học không thể dự thi cuối kỳ vì ốm/tai nạn/lý do chính đáng được phép hoãn thi. Được dự thi trong 2 học kỳ chính tiếp theo. Nếu không thi trong thời hạn → điểm F. Không có thi lại thông thường, phải đăng ký học lại.",Phải nêu 2 kỳ chính và không có thi lại
42,Quy trình và Thủ tục,medium,Khối lượng tối đa được công nhận tín chỉ từ nơi khác là bao nhiêu?,,Điều 11,"50%, toàn khóa, 30 TC, 5 năm, ThS","Công nhận kết quả học tập, Giới hạn công nhận TC","Tối đa 50% khối lượng chương trình học tập toàn khóa. Cơ sở: đối sánh chuẩn đầu ra, nội dung, khối lượng, cách đánh giá. Có thể theo từng HP hoặc nhóm HP. Thạc sĩ: tối đa 30 TC, hiệu lực 5 năm.",Phải nêu 50% và quy định ThS (30 TC/5 năm)
43,Quy trình và Thủ tục,medium,NCS phải báo cáo tiến độ như thế nào?,,Điều 37,"6 tháng, hội thảo, Ban Đào tạo, đơn vị chuyên môn, sinh hoạt",Báo cáo tiến độ NCS,"Định kỳ 6 tháng/lần từ khi có QĐ công nhận NCS, phải trình bày báo cáo tiến độ tại hội thảo KH của đơn vị CM và nộp báo cáo cho Ban Đào tạo ĐHBK. Còn phải tham gia sinh hoạt KH định kỳ.",Phải nêu 6 tháng/lần và nộp Ban Đào tạo
44,Quy trình và Thủ tục,hard,Bảo vệ luận văn thạc sĩ lần 2 và lần 3 quy định như thế nào?,,Điều 33,"3 tháng, lần 2, 6 tháng, đề tài mới, không có lần 3, tự chi phí",Bảo vệ luận văn lần 2 (ThS),LV không đạt + còn ≥3 tháng: BV lần 2 trong 3 tháng từ lần BV1. Lần 2 không đạt + còn ≥6 tháng: đăng ký đề tài mới. Không tổ chức BV lần 3. HV tự chi phí BV lần 2 và thực hiện đề tài mới.,Phải nêu điều kiện 3 tháng/6 tháng và không có lần 3
45,Quy trình và Thủ tục,medium,Sinh viên chuyển cơ sở đào tạo cần điều kiện gì?,,Điều 8,"Giám đốc, năm 1, năm cuối, 12 tháng, NCS, kỷ luật","Chuyển cơ sở đào tạo, Điều kiện không được chuyển cơ sở","SV ĐH: cần đồng ý của GĐ ĐHBK và thủ trưởng cơ sở chuyển đến. Không được chuyển khi: SV năm 1, năm cuối, đang bị xét buộc thôi học. ThS: do chuyển nơi cư trú/công tác, không ở kỳ cuối hoặc đang kỷ luật. NCS: còn ≥12 tháng theo QĐ.","Phải nêu đủ 3 đối tượng: SV, ThS, NCS"
46,Quy trình và Thủ tục,easy,Xếp hạng trình độ năm học dựa vào chỉ số nào?,,Điều 12,"TC tích lũy, 32, 64, 96, 128, năm 1, năm 5",Xếp hạng trình độ năm học,"Xếp hạng theo số TC tích lũy (TCTL): Năm 1 (<32 TC), Năm 2 (32-63 TC), Năm 3 (64-95 TC), Năm 4 (96-127 TC), Năm 5 (≥128 TC).",Phải nêu đủ 5 mức và các ngưỡng TC
47,Quy trình và Thủ tục,medium,Học phí khi rút học phần trong 7 tuần đầu là bao nhiêu?,,Điều 9,"50%, 7 tuần, kỳ 2, không phải đóng, nghỉ tạm thời","Học phí, Hoàn trả học phí",Rút HP trong 7 tuần đầu học kỳ đóng 50% HP của HP đó. Ngoại lệ: rút trong tuần đầu kỳ 2 không phải đóng HP. Thôi học/nghỉ TT trong 7 tuần đầu đóng 50% HP cả kỳ. Lớp rút gọn: HP = 50%.,Phải nêu ngoại lệ tuần đầu kỳ 2
48,Không có trong data (Hallucination test),easy,Học phí cụ thể một tín chỉ là bao nhiêu tiền đồng?,True,,"không quy định, không có, cụ thể",,"Quy chế không quy định mức học phí cụ thể bằng tiền. Chỉ quy định các trường hợp đóng 50% (rút HP trong 7 tuần, lớp rút gọn) hoặc 0% (rút HP tuần 1 kỳ 2).",Model KHÔNG được bịa số tiền cụ thể
49,Không có trong data (Hallucination test),easy,Tên hiệu trưởng hiện tại của ĐHBK Hà Nội là gì?,True,,"không có, không đề cập, Giám đốc",,Quy chế không đề cập tên cụ thể của hiệu trưởng. Quy chế chỉ đề cập đến 'Giám đốc ĐHBK Hà Nội' là người ra các quyết định. Tên cụ thể không có trong tài liệu này.,Model KHÔNG được bịa tên người
50,Không có trong data (Hallucination test),medium,Sinh viên được nghỉ bao nhiêu ngày lễ trong năm?,True,,"không quy định, không có, nằm ngoài",,"Quy chế đào tạo không quy định về số ngày nghỉ lễ. Đây là thông tin thuộc lịch năm học do ĐHBK công bố riêng, không nằm trong phạm vi Quy chế này.",Model KHÔNG được bịa số ngày nghỉ
